,steam-LBS,startDay,endDay,RH-%,T-C,Tdew-C,pressure-mbar,solarRadiation-W/m2,windDirection,windSpeed-m/s,humidityRatio-kg/kg,coolingDegrees,heatingDegrees,dehumidification,occupancy
2012-03-12,,2012-03-12,2012-03-13,45.7916666667,12.9791666667,0.7875,1013.875,216.708333333,222.083333333,3.1250025,0.00413647870272,2.6875,3.3625,0.0,0.4
2012-03-13,10734.7395833,2012-03-13,2012-03-14,66.6666666667,14.2916666667,7.79166666667,1006.79166667,129.5,209.583333333,4.62963333333,0.00672071823172,2.83333333333,2.125,0.0,0.4
2012-03-14,,2012-03-14,2012-03-15,87.3333333333,6.70833333333,4.65,1011.25,199.375,68.75,4.59491108333,0.00533389851447,0.0,8.29166666667,0.0,0.4
2012-03-15,,2012-03-15,2012-03-16,78.3333333333,3.54166666667,0.0166666666667,1019.125,133.5,102.5,3.94676241667,0.00376934161582,0.0,11.4583333333,0.0,0.4
2012-03-16,29526.3883464,2012-03-16,2012-03-17,78.625,5.04166666667,1.56666666667,1014.625,74.875,197.5,2.38426116667,0.00427568284891,0.0,9.95833333333,0.0,0.4
2012-03-17,20538.7613932,2012-03-17,2012-03-18,78.5,7.16666666667,3.525,1017.79166667,124.5,197.5,2.361113,0.00486555649307,0.0,7.83333333333,0.0,0.4
2012-03-18,10589.8958333,2012-03-18,2012-03-19,64.4583333333,13.25,5.84583333333,1015.0,176.083333333,223.75,4.59491108333,0.00577329799558,3.54166666667,3.875,0.0,0.4
2012-03-19,13406.0384115,2012-03-19,2012-03-20,70.8333333333,12.875,7.0875,1013.45833333,208.125,169.166666667,3.62268808333,0.00623858618287,2.25,3.45833333333,0.0,0.975
2012-03-20,10460.3678385,2012-03-20,2012-03-21,70.875,12.9083333333,7.45,1016.58333333,220.541666667,203.75,2.76620591667,0.00647841113203,2.7,3.125,0.0,1.0
2012-03-21,6170.98958333,2012-03-21,2012-03-22,67.9166666667,19.1666666667,12.6,1016.33333333,231.916666667,231.25,4.7916705,0.00901117575032,7.16666666667,0.125,0.000226603475376,1.0
2012-03-22,,2012-03-22,2012-03-23,59.2083333333,20.9166666667,11.6208333333,1010.33333333,196.708333333,252.5,4.56018883333,0.00851007298857,8.91666666667,0.0833333333333,0.000135647778532,1.0
2012-03-23,6448.28125,2012-03-23,2012-03-24,39.3333333333,19.375,3.4625,1008.66666667,231.208333333,246.666666667,3.888892,0.00528651870968,7.375,0.0,0.0,1.0
2012-03-24,,2012-03-24,2012-03-25,56.5,9.20833333333,0.420833333333,1011.04166667,231.166666667,122.916666667,3.86574383333,0.00396150312334,0.291666666667,5.83333333333,0.0,0.5
2012-03-25,17551.4811198,2012-03-25,2012-03-26,76.7083333333,7.16666666667,3.15,1003.66666667,27.75,103.75,3.20602108333,0.0048102038815,0.0,7.83333333333,0.0,0.5
2012-03-26,32256.1376953,2012-03-26,2012-03-27,51.6666666667,5.20833333333,-4.63333333333,999.458333333,221.791666667,308.333333333,6.42361625,0.00300895964948,0.0,9.79166666667,0.0,1.0
2012-03-27,37076.4078776,2012-03-27,2012-03-28,19.125,2.91666666667,-17.3,1010.95833333,272.291666667,323.75,6.49306075,0.000824333321642,0.0,12.0833333333,0.0,1.0
