,Site_EUI,pos,,,,,,,,,
318,103.4," -71.10739168,42.33870588",,,,,,,,,
319,56.2," -71.0500205918367,42.3493239795918",,,,,,,,,
320,0," -71.0595677,42.3604823",,,,,,,,,
321,120.1," -71.1108549,42.328899",,,,,,,,,
322,26.6," -71.0641701123596,42.3778498083569",,,,,,,,,
323,0," -71.0595677,42.3604823",,,,,,,,,
324,143.6," -71.0709663939394,42.3511858383838",,,,,,,,,
325,322," -71.0811192,42.3327667",,,,,,,,,
326,85.7," -71.0580464852892,42.3329028086008",,,,,,,,,
327,387.3," -71.0618286923077,42.3495668461538",,,,,,,,,
328,37.5," -71.0616789,42.358091",,,,,,,,,
329,78.4," -71.1022341036895,42.3415619171204",,,,,,,,,
330,65," -71.1023381340612,42.3416677902201",,,,,,,,,
331,100.6," -71.1022132976151,42.3415407425004",,,,,,,,,
332,72.3," -71.102442164433,42.3417736633199",,,,,,,,,
333,44.8," -71.1025461948047,42.3418795364196",,,,,,,,,
334,86.1," -71.065955,42.3613595",,,,,,,,,
335,351.6," -71.0509734477612,42.3768694328358",,,,,,,,,
336,17.6," -71.0811192,42.3327667",,,,,,,,,
337,185.4," -71.0766369,42.307077",,,,,,,,,
338,107.3," -71.115424836587,42.3094697964297",,,,,,,,,
339,254.1," -71.0811192,42.3327667",,,,,,,,,
340,338.9," -71.1224819947696,42.2876829327984",,,,,,,,,
341,90.6," -71.0816062357757,42.2747056592057",,,,,,,,,
342,22.5," -71.0700179,42.272249",,,,,,,,,
343,249.3," -71.0700199,42.325718",,,,,,,,,
344,56.1," -71.1203281227728,42.2919198885841",,,,,,,,,
345,65.9," -71.0544074,42.3653472",,,,,,,,,
346,94," -71.078607,42.329996",,,,,,,,,
347,63.6," -71.0372819090909,42.3728416363636",,,,,,,,,
348,157.4," -71.0811192,42.3327667",,,,,,,,,
349,7.2," -71.093789,42.334668",,,,,,,,,
350,97.6," -71.0602524,42.3582926",,,,,,,,,
351,83.2," -71.076594,42.326971",,,,,,,,,
352,100.7," -71.036216,42.334832",,,,,,,,,
353,131.7," -71.0687731052632,42.3399225263158",,,,,,,,,
354,84.6," -71.1265261,42.3578102",,,,,,,,,
355,125.9," -71.030755,42.3787954",,,,,,,,,
356,108.4," -71.073931,42.3468213538462",,,,,,,,,
357,172.5," -71.0530294,42.3656414",,,,,,,,,
358,120.9," -71.039156047619,42.3685147619048",,,,,,,,,
359,134.8," -71.0838163833113,42.3287748708439",,,,,,,,,
360,47.4," -71.079125,42.278518",,,,,,,,,
361,136.8," -71.0623832222975,42.3080605782734",,,,,,,,,
362,63.3," -71.0639231818182,42.2866708181818",,,,,,,,,
363,97," -71.047356,42.28856",,,,,,,,,
364,84.2," -71.0766369,42.307077",,,,,,,,,
365,41," -71.0776298571429,42.3406751428571",,,,,,,,,
366,114.3," -71.0811192,42.3327667",,,,,,,,,
367,87.6," -71.1302824,42.2978789",,,,,,,,,
368,135.7," -71.1532817345459,42.3434604563618",,,,,,,,,
369,115.2," -71.1565574539866,42.28402565",,,,,,,,,
370,137.7," -71.0719080030377,42.3833159031536",,,,,,,,,
